employee_id,firstname,lastname,age,gender,maritalstatus,department,jobrole,monthlyincome,educationlevel,hiredate,employmentstatus,managerid,businesstravel,overtime,presence_score,total_hours,late_count,overtime_count,eng_survey_id,eng_q_work_life_balance,eng_q_manager_support,eng_q_growth_opportunity,eng_q_recognition,eng_year,eng_month,perf_review_date,perf_review_cycle,perf_overall_rating,perf_goals_score,perf_manager_score,perf_potential_rating,perf_bonus_percentage,perf_promotion_recommendation,perf_year,perf_quarter
1,Emp1,LN1,21,Male,Single,It,IT Support,6274,High School,2006-08-13,Terminated,0.0,Travel_Frequently,Yes,0.0,2071.8,27.0,109.0,10003.0,2.4,2.4,2.8,3.0,2021.6,5.4,2023-06-15,Mid-Year,3.0,2.02,2.73,Low,6.0,No,2023.0,2.0
2,Emp2,LN2,23,Female,Single,Engineering,Data Engineer,12147,Master's,2006-12-06,Terminated,0.0,Travel_Rarely,Yes,0.0,2139.23,34.0,126.0,10006.0,2.0,5.0,4.0,3.0,2021.0,8.0,2023-06-15,Mid-Year,4.0,2.9,3.84,Medium,10.0,No,2023.0,2.0
3,Emp3,LN3,59,Male,Married,Marketing,Marketing Analyst,9454,PhD,2008-05-26,Active,0.0,Travel_Frequently,Yes,0.0,0.0,0.0,0.0,10008.5,3.0,2.5,3.0,3.75,2022.5,7.75,,,0.0,0.0,0.0,,0.0,,0.0,0.0
4,Emp4,LN4,44,Male,Divorced,Finance,Finance Manager,4758,PhD,2016-06-06,Terminated,0.0,Travel_Frequently,No,0.0,2122.62,23.0,135.0,10014.0,2.857142857142857,3.0,2.7142857142857144,1.5714285714285714,2022.142857142857,5.428571428571429,2023-06-15,Mid-Year,3.0,2.63,2.63,Low,6.0,No,2023.0,2.0
5,Emp5,LN5,43,Male,Married,Engineering,Data Engineer,5832,Master's,2018-09-21,Terminated,0.0,Non-Travel,No,0.0,2152.81,24.0,119.0,10018.0,3.0,5.0,5.0,2.0,2023.0,8.0,2023-06-15,Mid-Year,1.0,1.0,1.01,Low,0.0,No,2023.0,2.0
6,Emp6,LN6,43,Male,Single,Engineering,Data Engineer,8608,PhD,2022-12-13,Active,0.0,Non-Travel,No,0.0,0.0,0.0,0.0,10021.0,4.0,3.4,3.2,4.2,2022.2,7.8,,,0.0,0.0,0.0,,0.0,,0.0,0.0
7,Emp7,LN7,49,Nonbinary,Single,R&D,Lab Technician,17444,Bachelor's,2019-09-07,Terminated,0.0,Travel_Frequently,No,0.0,2072.21,22.0,122.0,10024.0,3.0,2.0,3.0,1.0,2022.0,12.0,2023-06-15,Mid-Year,4.0,3.54,3.18,High,10.0,No,2023.0,2.0
8,Emp8,LN8,25,Male,Divorced,Finance,Accountant,5757,PhD,2020-01-19,Active,0.0,Non-Travel,No,0.0,2127.5,27.0,114.0,10026.0,2.6666666666666665,3.3333333333333335,2.6666666666666665,3.3333333333333335,2021.3333333333333,5.0,2023-06-15,Mid-Year,3.0,2.02,2.93,Medium,6.0,No,2023.0,2.0
9,Emp9,LN9,52,Female,Married,Operations,Logistics Coordinator,10739,PhD,2017-04-16,Terminated,0.0,Travel_Frequently,Yes,0.0,0.0,0.0,0.0,10028.0,3.0,3.0,2.0,3.0,2023.0,2.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0
10,Emp10,LN10,59,Male,Divorced,Sales,Account Manager,15224,Associate's,2006-08-28,Leave of Absence,0.0,Travel_Frequently,No,0.0,2129.27,27.0,134.0,10030.5,2.0,1.5,4.0,2.25,2021.25,7.0,2023-06-15,Mid-Year,3.0,2.21,2.27,Low,6.0,No,2023.0,2.0
11,Emp11,LN11,58,Female,Married,Sales,Account Manager,4688,PhD,2008-01-17,Active,128.0,Travel_Rarely,No,0.0,2131.05,19.0,125.0,10033.0,3.0,1.0,2.0,1.0,2022.0,9.0,2023-06-15,Mid-Year,1.0,1.0,1.35,Low,0.0,No,2023.0,2.0
12,Emp12,LN12,36,Female,Single,Human Resources,Recruiter,19978,High School,2022-06-22,Leave of Absence,28.0,Non-Travel,No,0.0,2119.13,22.0,117.0,10034.0,2.0,2.0,5.0,3.0,2022.0,7.0,2023-06-15,Mid-Year,2.0,1.57,2.59,High,3.0,No,2023.0,2.0
13,Emp13,LN13,60,Female,Divorced,Sales,Sales Executive,16075,High School,2017-12-06,Leave of Absence,29.0,Travel_Rarely,No,0.0,2109.67,25.0,123.0,10037.0,2.6,3.0,2.8,2.6,2022.2,8.6,2023-06-15,Mid-Year,3.0,2.2,2.18,High,6.0,No,2023.0,2.0
14,Emp14,LN14,54,Nonbinary,Divorced,R&D,Research Scientist,10625,Bachelor's,2012-09-21,Leave of Absence,88.0,Travel_Frequently,Yes,0.0,2108.61,23.0,124.0,10044.0,3.111111111111111,2.888888888888889,3.2222222222222223,2.6666666666666665,2021.888888888889,6.888888888888889,2023-06-15,Mid-Year,4.0,2.78,3.06,Low,10.0,No,2023.0,2.0
15,Emp15,LN15,25,Male,Divorced,It,IT Support,8263,PhD,2009-05-01,Terminated,145.0,Travel_Rarely,No,0.0,2056.63,15.0,114.0,10050.5,3.0,2.75,3.5,1.5,2021.5,5.25,2023-06-15,Mid-Year,3.0,1.75,2.32,Low,6.0,No,2023.0,2.0
16,Emp16,LN16,49,Male,Married,Customer Success,Support Associate,18881,Master's,2018-02-13,Leave of Absence,80.0,Non-Travel,Yes,0.0,2133.79,23.0,137.0,10055.0,2.4,3.0,2.4,3.0,2022.4,6.4,2023-06-15,Mid-Year,2.0,2.25,1.77,Medium,3.0,Yes,2023.0,2.0
17,Emp17,LN17,31,Female,Married,R&D,Principal Researcher,4148,Associate's,2021-06-04,Terminated,98.0,Travel_Frequently,No,0.0,0.0,0.0,0.0,10059.5,3.25,2.0,2.5,4.25,2022.25,8.75,,,0.0,0.0,0.0,,0.0,,0.0,0.0
18,Emp18,LN18,22,Nonbinary,Single,Engineering,Software Engineer,10435,High School,2019-01-22,Active,89.0,Travel_Rarely,No,0.0,2152.59,26.0,128.0,10062.0,4.0,2.0,5.0,3.0,2022.0,9.0,2023-06-15,Mid-Year,3.0,2.43,2.28,High,6.0,No,2023.0,2.0
19,Emp19,LN19,26,Female,Single,Marketing,Marketing Analyst,12970,Bachelor's,2012-07-16,Leave of Absence,127.0,Travel_Rarely,No,0.0,2128.46,32.0,121.0,10065.0,2.4,2.6,3.6,3.6,2022.6,8.0,2023-06-15,Mid-Year,3.0,2.75,2.95,Medium,6.0,No,2023.0,2.0
20,Emp20,LN20,47,Male,Married,Engineering,Data Engineer,16751,High School,2019-01-05,Leave of Absence,84.0,Non-Travel,No,0.0,2081.09,22.0,113.0,10069.0,3.6666666666666665,2.0,2.0,3.3333333333333335,2022.0,6.333333333333333,2023-06-15,Mid-Year,4.0,3.5,4.0,Medium,10.0,No,2023.0,2.0
